City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mar Del Plata,AR,73.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
3,Ahipara,NZ,72.95,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
6,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
9,Butaritari,KI,81.73,broken clouds,3.0707,172.7902,Isles Sunset Lodge
12,Bluff,NZ,70.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,Port Alfred,ZA,71.35,overcast clouds,-33.5906,26.891,The Halyards Hotel
15,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Hobyo,SO,77.07,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
18,Mataura,NZ,70.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
20,Busselton,AU,70.05,overcast clouds,-33.65,115.3333,Observatory Guest House
21,Parnamirim,BR,78.69,few clouds,-5.9156,-35.2628,Pousada Joaci
22,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
23,Suclayin,PH,81.86,clear sky,15.7568,121.5503,Costa Pacifica
25,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
28,Praia,CV,72.14,broken clouds,14.9215,-23.5087,LT Aparthotel
29,New Norfolk,AU,76.75,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
30,Zabid,YE,72.1,clear sky,14.1951,43.3152,مغرب التريبه
31,Farafangana,MG,74.39,light rain,-22.8167,47.8333,Miarina
32,Wahiawa,US,77.32,broken clouds,21.5028,-158.0236,Aloha Wahiawa
33,Bengkulu,ID,83.01,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
34,Port Lincoln,AU,84.74,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
41,Rikitea,PF,77.97,overcast clouds,-23.1203,-134.9692,People ThankYou
42,Umm Lajj,SA,73.31,overcast clouds,25.0213,37.2685,Moon light Furnished Units
43,Sao Filipe,CV,72.84,overcast clouds,14.8961,-24.4956,Hotel Xaguate
44,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
46,Namatanai,PG,84.65,light rain,-3.6667,152.4333,Seagulls Inn Namatani
49,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Hithadhoo,MV,81.82,few clouds,-0.6,73.0833,Scoop Guest House
52,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
55,Beroroha,MG,72.72,overcast clouds,-21.6667,45.1667,
57,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
64,Faanui,PF,81.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
65,Boffa,GN,73.51,few clouds,10.1667,-14.0333,Hôtel Niara Belly
68,Port Blair,IN,82.13,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
69,Colac,AU,82.62,few clouds,-38.3333,143.5833,Otway Gate Motel
76,Cabo San Lucas,MX,72.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
78,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Sechura,PE,72.1,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
82,Atuona,PF,78.17,light rain,-9.8,-139.0333,Villa Enata
87,Bandarbeyla,SO,75.42,broken clouds,9.4942,50.8122,JABIR HOTEL
97,Rabaul,PG,82.63,overcast clouds,-4.1967,152.1721,Rabaul Hotel
99,Igbo Ora,NG,76.44,scattered clouds,7.4333,3.2833,Pinkbell Inn
104,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
107,Clarence Town,AU,88.34,clear sky,-32.5833,151.7833,River Downs Cottage
108,Port Elizabeth,ZA,71.1,clear sky,-33.918,25.5701,39 On Nile Guest House
116,Sao Jose Da Coroa Grande,BR,78.19,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
119,Mahebourg,MU,77.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Kavieng,PG,84.22,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
122,Kirakira,SB,85.53,broken clouds,-10.4544,161.9205,SanBiz Lodge
126,Necochea,AR,77.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
129,Itoman,JP,70.18,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
130,Luwuk,ID,87.03,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
131,Ugoofaaru,MV,80.94,overcast clouds,5.6667,73.0,Ungoofaaru Inn
135,Byron Bay,AU,86.11,broken clouds,-28.65,153.6167,Backpackers Inn
136,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
