City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
262,Zhoucheng,CN,35.9122,116.3117,81.82,42,0,15.41,clear sky
263,Hirara,JP,24.8,125.2833,75.47,60,75,18.41,broken clouds
264,Ayr,GB,55.4627,-4.6339,36.32,93,0,5.75,clear sky
265,Corrales,US,35.2378,-106.6067,56.77,13,0,15.01,clear sky
266,Saquarema,BR,-22.92,-42.5103,72.77,86,82,2.73,broken clouds
267,Hami,CN,42.8,93.45,76.53,9,5,3.38,clear sky
268,Vernon,CA,50.2581,-119.2691,49.93,55,100,8.05,overcast clouds
269,Jacareacanga,BR,-6.2222,-57.7528,72.75,99,74,2.1,broken clouds
270,Maceio,BR,-9.6658,-35.7353,76.44,88,75,2.3,broken clouds
271,Impfondo,CG,1.6381,18.0667,70.12,97,62,1.23,light rain
272,Kalmar,SE,56.6616,16.3616,39.13,86,75,24.0,broken clouds
273,Marienburg,PL,54.0359,19.0266,44.11,79,90,19.04,overcast clouds
274,Lethem,GY,3.3803,-59.7968,77.61,79,65,10.56,broken clouds
275,Tenenkou,ML,14.4572,-4.9169,81.97,15,68,9.06,broken clouds
276,Laerdalsoyri,NO,61.098,7.4816,32.32,39,0,5.75,clear sky
277,Ostrovnoy,RU,68.0531,39.5131,24.49,91,100,10.74,overcast clouds
278,Panaba,MX,21.2833,-88.2667,76.21,91,63,16.84,broken clouds
279,Bereda,ES,43.2686,-7.5406,52.14,86,100,13.04,light rain
280,Sao Domingos,BR,-13.3983,-46.3183,74.03,57,61,6.06,broken clouds
281,Airai,TL,-8.9266,125.4092,75.31,45,96,2.21,overcast clouds
282,Isangel,VU,-19.55,169.2667,83.62,72,84,7.9,broken clouds
283,Abonnema,NG,4.7084,6.7931,75.49,89,100,3.53,overcast clouds
284,Soe,ID,-9.8607,124.284,80.04,51,100,1.81,overcast clouds
285,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,63,75,10.36,broken clouds
286,Ahipara,NZ,-35.1667,173.1667,66.94,62,79,3.58,broken clouds
287,Owando,CG,-0.4819,15.8999,72.0,88,100,2.04,overcast clouds
288,Teyateyaneng,LS,-29.1472,27.7489,46.26,61,89,2.68,overcast clouds
289,Zhaozhou,CN,45.6833,125.3167,64.54,26,100,20.27,overcast clouds
290,Leningradskiy,RU,69.3833,178.4167,-6.3,92,100,9.86,overcast clouds
291,Shelburne,CA,44.0787,-80.2041,38.23,87,52,4.12,broken clouds
292,Sitka,US,57.0531,-135.33,39.09,87,75,5.75,light rain
293,Cervo,ES,43.6702,-7.4101,56.79,74,98,23.96,overcast clouds
